,expiration_timestamp,option_type,instrument_name,strike,underlying_price,underlying_index,timestamp,stats,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,index_price,greeks,estimated_delivery_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv
0,1590134400000,put,BTC-22MAY20-9250-P,9250.0,9096.11,SYN.BTC-22MAY20,1590103193775,"{'volume': 717.1, 'price_change': 90.4762, 'low': 0.006, 'high': 0.05}",open,0.01,418.9,0.0005,0.0535,0.02124908,85.05,0.02,0.0,9095.83,"{'vega': 0.94545, 'theta': -40.20419, 'rho': -0.06764, 'gamma': 0.00136, 'delta': -0.73032}",9095.83,19473312548,"[[0.02, 9.0], [0.019, 5.0], [0.018, 0.5], [0.0165, 0.2], [0.014, 3.0], [0.001, 0.1]]",72.4,0.02,9.0,0.023,9.0,"[[0.023, 9.0], [0.0235, 5.5], [0.025, 0.5], [0.0255, 3.0], [0.0585, 3.5], [0.3795, 8.0]]",101.17
1,1591344000000,put,BTC-5JUN20-6750-P,6750.0,9098.05,SYN.BTC-5JUN20,1590103193778,"{'volume': 2.7, 'price_change': 33.3333, 'low': 0.009, 'high': 0.013}",open,,2.7,0.0005,0.034,0.01077366,121.74,0.012,0.0,9095.83,"{'vega': 2.86749, 'theta': -12.15441, 'rho': -0.35147, 'gamma': 7e-05, 'delta': -0.08741}",9095.83,19473286552,"[[0.0105, 15.0], [0.01, 26.0], [0.0095, 21.0], [0.009, 25.0], [0.0005, 0.1]]",120.86,0.0105,15.0,0.011,0.1,"[[0.011, 0.1], [0.0115, 51.0], [0.0125, 26.0], [0.095, 14.5]]",122.45
2,1593158400000,put,BTC-26JUN20-10500-P,10500.0,9100.62,BTC-26JUN20,1590103194782,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.17,0.0,0.1525,0.2575,0.20252684,81.74,,0.0,9095.86,"{'vega': 10.28041, 'theta': -11.88192, 'rho': -7.67725, 'gamma': 0.00016, 'delta': -0.66821}",9095.86,19473312519,"[[0.192, 5.5], [0.0005, 0.4]]",72.21,0.192,5.5,0.209,5.5,"[[0.209, 5.5], [0.7935, 4.0]]",87.39
3,1591344000000,call,BTC-5JUN20-6750-C,6750.0,9097.79,SYN.BTC-5JUN20,1590103194922,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,,0.0,0.238,0.303,0.26885871,121.74,,0.0,9095.86,"{'vega': 2.8678, 'theta': -12.15554, 'rho': 2.3043, 'gamma': 7e-05, 'delta': 0.91258}",9095.86,19473252111,[],0.0,0.0,0.0,0.521,11.5,"[[0.521, 11.5]]",500.0
4,1590134400000,call,BTC-22MAY20-12000-C,12000.0,9095.15,SYN.BTC-22MAY20,1590103196796,"{'volume': 3.0, 'price_change': 0.0, 'low': 0.0005, 'high': 0.0005}",open,0.0,204.2,0.0005,0.0155,0.0,107.57,0.0005,0.0,9095.35,"{'vega': 0.0, 'theta': 0.0, 'rho': 0.0, 'gamma': 0.0, 'delta': 0.0}",9095.35,19473060377,[],0.0,0.0,0.0,0.0005,14.0,"[[0.0005, 14.0], [0.0025, 9.0], [0.003, 2.0], [0.0045, 0.1]]",382.52
5,1593158400000,call,BTC-26JUN20-8000-C,8000.0,9100.1,BTC-26JUN20,1590103196797,"{'volume': 0.7, 'price_change': -1.4006, 'low': 0.176, 'high': 0.1785}",open,0.21,610.9,0.1365,0.226,0.18080312,94.73,0.176,0.0,9095.35,"{'vega': 9.52596, 'theta': -12.75934, 'rho': 4.75817, 'gamma': 0.00013, 'delta': 0.72053}",9095.35,19473312161,"[[0.1795, 0.1], [0.179, 6.2], [0.1785, 0.2], [0.07, 0.1], [0.06, 4.1], [0.025, 0.1], [0.002, 0.1], [0.001, 0.1]]",93.47,0.1795,0.1,0.19,6.0,"[[0.19, 6.0], [0.1905, 0.2], [0.258, 2.0], [0.2845, 1.0], [0.3, 0.1], [0.31, 0.3], [0.32, 0.9], [0.4, 0.1], [0.4815, 10.0]]",103.44
6,1601020800000,put,BTC-25SEP20-9000-P,9000.0,9184.06,BTC-25SEP20,1590103197805,"{'volume': 8.5, 'price_change': 26.0479, 'low': 0.167, 'high': 0.2105}",open,0.17,337.1,0.1285,0.2575,0.18949455,86.77,0.2105,0.0,9093.87,"{'vega': 20.64043, 'theta': -7.08643, 'rho': -18.23812, 'gamma': 8e-05, 'delta': -0.38403}",9093.87,19473315070,"[[0.187, 9.0], [0.1865, 21.2], [0.185, 0.5], [0.1825, 11.7], [0.136, 0.1], [0.1, 1.0], [0.077, 0.3], [0.037, 0.1]]",85.61,0.187,9.0,0.1925,12.2,"[[0.1925, 12.2], [0.193, 9.0], [0.1945, 9.2], [0.1955, 4.8], [0.206, 5.0], [0.236, 0.2]]",88.06
7,1590220800000,put,BTC-23MAY20-8875-P,8875.0,9095.53,SYN.BTC-23MAY20,1590103197906,"{'volume': 47.5, 'price_change': 52.9412, 'low': 0.005, 'high': 0.0195}",open,,32.3,0.0005,0.037,0.01039632,84.12,0.013,0.0,9093.87,"{'vega': 1.95206, 'theta': -60.32444, 'rho': -0.10776, 'gamma': 0.00075, 'delta': -0.30731}",9093.87,19473315454,"[[0.0095, 14.6], [0.008, 7.2], [0.0035, 0.1]]",79.96,0.0095,14.6,0.0115,35.0,"[[0.0115, 35.0], [0.012, 7.0]]",89.27
8,1590739200000,put,BTC-29MAY20-13500-P,13500.0,9094.86,SYN.BTC-29MAY20,1590103198809,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.43,0.0,0.441,0.537,0.48534072,128.9,,0.0,9093.36,"{'vega': 0.60953, 'theta': -5.33672, 'rho': -2.68926, 'gamma': 3e-05, 'delta': -0.9806}",9093.36,19473315555,"[[0.1905, 0.1]]",0.0,0.1905,0.1,0.9865,2.5,"[[0.9865, 2.5]]",500.0
9,1590220800000,put,BTC-23MAY20-9250-P,9250.0,9093.55,SYN.BTC-23MAY20,1590103199817,"{'volume': 24.9, 'price_change': 178.2609, 'low': 0.0115, 'high': 0.032}",open,,22.0,0.0025,0.06,0.02748581,71.63,0.032,0.0,9092.39,"{'vega': 2.07023, 'theta': -54.47505, 'rho': -0.22758, 'gamma': 0.00094, 'delta': -0.6436}",9092.39,19473316398,"[[0.025, 20.9], [0.0225, 0.1], [0.022, 0.3], [0.017, 0.2], [0.0105, 0.5]]",60.39,0.025,20.9,0.0295,1.5,"[[0.0295, 1.5], [0.031, 4.0], [0.0845, 2.5]]",80.24
