,expiration_timestamp,option_type,instrument_name,strike,underlying_price,underlying_index,timestamp,stats,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,index_price,greeks,estimated_delivery_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv
0,1590134400000,put,BTC-22MAY20-9250-P,9250.0,9352.58,SYN.BTC-22MAY20,1589434896486,"{'volume': 30.5, 'price_change': -33.5616, 'low': 0.0425, 'high': 0.073}",open,0.07,139.3,0.012,0.076,0.04010621,76.87,0.0485,0.0,9350.67,"{'vega': 5.49167, 'theta': -26.07217, 'rho': -0.99385, 'gamma': 0.00037, 'delta': -0.43897}",9350.67,19252173990,"[[0.042, 15.5], [0.0405, 8.2], [0.038, 0.2], [0.035, 0.5], [0.03, 0.5], [0.021, 0.5], [0.02, 0.1], [0.018, 0.1]]",80.07,0.042,15.5,0.045,0.5,"[[0.045, 0.5], [0.0465, 15.0], [0.051, 7.0], [0.07, 0.3], [0.283, 10.0]]",85.17
1,1590134400000,call,BTC-22MAY20-12000-C,12000.0,9352.41,SYN.BTC-22MAY20,1589434897493,"{'volume': 30.4, 'price_change': 100.0, 'low': 0.0025, 'high': 0.006}",open,0.0,110.6,0.0005,0.0255,0.00570308,112.49,0.005,0.0,9350.12,"{'vega': 2.07333, 'theta': -14.40395, 'rho': 0.1544, 'gamma': 0.0001, 'delta': 0.08013}",9350.12,19252151365,"[[0.005, 23.0], [0.0045, 45.0], [0.0035, 15.0]]",109.22,0.005,23.0,0.0065,113.1,"[[0.0065, 113.1], [0.119, 8.5]]",115.97
2,1593158400000,call,BTC-26JUN20-8000-C,8000.0,9359.92,BTC-26JUN20,1589434897494,"{'volume': 5.7, 'price_change': -0.2732, 'low': 0.182, 'high': 0.186}",open,0.17,771.0,0.1575,0.2455,0.20112115,90.26,0.1825,0.0,9350.12,"{'vega': 10.31091, 'theta': -10.7973, 'rho': 6.01933, 'gamma': 0.00011, 'delta': 0.74578}",9350.12,19252174854,"[[0.1985, 9.5], [0.192, 8.0], [0.07, 0.1], [0.06, 4.1], [0.025, 0.1], [0.002, 0.1], [0.001, 0.1]]",87.88,0.1985,9.5,0.204,9.5,"[[0.204, 9.5], [0.206, 8.0], [0.2765, 1.0], [0.3, 0.1], [0.31, 0.3], [0.4, 0.1], [0.5, 10.0]]",92.87
3,1589443200000,call,BTC-14MAY20-8875-C,8875.0,9350.14,SYN.BTC-14MAY20,1589434898500,"{'volume': 19.5, 'price_change': 156.25, 'low': 0.012, 'high': 0.046}",open,0.01,24.7,0.0215,0.0785,0.05088735,116.07,0.041,0.0,9350.15,"{'vega': 0.0126, 'theta': -0.73116, 'rho': 0.02324, 'gamma': 5e-05, 'delta': 0.9973}",9350.15,19252155187,"[[0.0375, 3.3], [0.0315, 0.3]]",0.0,0.0375,3.3,0.057,3.0,"[[0.057, 3.0], [0.0575, 0.3], [0.0675, 0.3]]",369.73
4,1601020800000,put,BTC-25SEP20-9000-P,9000.0,9435.57,BTC-25SEP20,1589434898502,"{'volume': 14.8, 'price_change': -7.3298, 'low': 0.1695, 'high': 0.191}",open,0.2,266.9,0.115,0.2385,0.17289039,83.49,0.177,0.0,9350.15,"{'vega': 21.48727, 'theta': -6.68887, 'rho': -18.62897, 'gamma': 8e-05, 'delta': -0.36452}",9350.15,19252174589,"[[0.17, 9.5], [0.169, 3.2], [0.1675, 10.0], [0.1665, 7.0], [0.1, 1.0], [0.077, 0.3], [0.0275, 0.1]]",82.22,0.17,9.5,0.1755,11.9,"[[0.1755, 11.9], [0.176, 9.0], [0.177, 10.5], [0.179, 3.2], [0.183, 7.0]]",84.64
5,1590739200000,put,BTC-29MAY20-13500-P,13500.0,9353.44,SYN.BTC-29MAY20,1589434899506,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.53,0.0,0.4025,0.5075,0.45029658,114.93,,0.0,9350.47,"{'vega': 2.64061, 'theta': -10.0523, 'rho': -5.32754, 'gamma': 6e-05, 'delta': -0.92689}",9350.47,19252173921,"[[0.0015, 7.1]]",0.0,0.0015,7.1,0.8285,2.5,"[[0.8285, 2.5]]",500.0
6,1590134400000,call,BTC-22MAY20-13000-C,13000.0,9351.91,SYN.BTC-22MAY20,1589434899506,"{'volume': 42.9, 'price_change': 100.0, 'low': 0.0015, 'high': 0.0045}",open,0.0,91.8,0.0005,0.02,0.00346398,125.62,0.003,0.0,9350.47,"{'vega': 1.38479, 'theta': -10.74363, 'rho': 0.09188, 'gamma': 6e-05, 'delta': 0.04776}",9350.47,19252094022,"[[0.003, 23.0], [0.002, 16.0], [0.0005, 10.4]]",122.35,0.003,23.0,0.004,2.0,"[[0.004, 2.0], [0.0045, 23.0], [0.005, 14.5], [0.0055, 1.0], [0.08, 0.3], [0.117, 8.5]]",129.09
7,1589443200000,call,BTC-14MAY20-8250-C,8250.0,9350.49,SYN.BTC-14MAY20,1589434900514,"{'volume': 2.0, 'price_change': 0.0, 'low': 0.084, 'high': 0.084}",open,0.07,2.0,0.0905,0.143,0.11766319,117.53,0.084,0.0,9350.4,"{'vega': 0.0, 'theta': 0.0, 'rho': 0.02166, 'gamma': 0.0, 'delta': 1.0}",9350.4,19250278881,"[[0.013, 0.5], [0.0005, 0.8]]",0.0,0.013,0.5,0.0,0.0,[],0.0
8,1590134400000,put,BTC-22MAY20-12000-P,12000.0,9352.23,SYN.BTC-22MAY20,1589434900516,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.36,0.0,0.2465,0.339,0.28885909,112.49,,0.0,9350.4,"{'vega': 2.07323, 'theta': -14.40419, 'rho': -2.50725, 'gamma': 9e-05, 'delta': -0.91987}",9350.4,19252173815,"[[0.0005, 16.3]]",0.0,0.0005,16.3,0.691,2.5,"[[0.691, 2.5]]",500.0
9,1608883200000,call,BTC-25DEC20-36000-C,36000.0,9513.55,BTC-25DEC20,1589434901363,"{'volume': 26.8, 'price_change': 13.7255, 'low': 0.0255, 'high': 0.029}",open,0.02,307.2,0.006,0.0725,0.02712972,100.31,0.029,0.0,9350.4,"{'vega': 12.87724, 'theta': -2.86924, 'rho': 4.13233, 'gamma': 2e-05, 'delta': 0.09757}",9350.4,19252176175,"[[0.0255, 12.0], [0.025, 5.0], [0.0245, 13.0], [0.022, 0.1], [0.0215, 6.7], [0.021, 5.0], [0.02, 5.1], [0.019, 5.0], [0.018, 0.5], [0.0165, 3.0], [0.016, 3.0], [0.0155, 3.1], [0.015, 3.0], [0.011, 1.0], [0.0105, 1.0], [0.01, 1.1], [0.0095, 1.0], [0.009, 2.0], [0.0085, 1.5], [0.008, 1.0]]",99.08,0.0255,12.0,0.029,2.7,"[[0.029, 2.7], [0.0295, 12.0], [0.0335, 10.0], [0.0375, 0.3], [0.9, 0.5], [0.95, 1.0], [1.0, 6.2]]",101.66
10,1601020800000,put,BTC-25SEP20-7000-P,7000.0,9435.91,BTC-25SEP20,1589434900514,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.09,244.2,0.042,0.1315,0.08166728,88.3,0.0945,0.0,9350.4,"{'vega': 16.22803, 'theta': -5.34299, 'rho': -9.92117, 'gamma': 6e-05, 'delta': -0.20453}",9350.4,19252167464,"[[0.0795, 14.0], [0.0785, 13.2], [0.076, 10.0], [0.0695, 0.5], [0.053, 1.0], [0.022, 0.1]]",87.04,0.0795,14.0,0.084,31.1,"[[0.084, 31.1], [0.0845, 10.5], [0.085, 3.2], [0.087, 10.0], [0.096, 0.5], [0.1325, 0.5], [0.159, 0.5], [0.18, 0.2], [0.223, 0.1], [0.293, 0.1], [0.382, 0.1], [0.5, 10.0], [0.6, 2.0]]",89.66
11,1589443200000,call,BTC-14MAY20-9125-C,9125.0,9350.42,SYN.BTC-14MAY20,1589434902528,"{'volume': 59.9, 'price_change': 336.3636, 'low': 0.0035, 'high': 0.026}",open,0.01,32.0,0.0005,0.054,0.0247517,107.8,0.024,0.0,9350.45,"{'vega': 0.22503, 'theta': -12.12941, 'rho': 0.02198, 'gamma': 0.00091, 'delta': 0.9201}",9350.45,19252176144,"[[0.0235, 1.0], [0.023, 7.0], [0.0125, 3.0], [0.006, 0.2]]",0.0,0.0235,1.0,0.027,7.0,"[[0.027, 7.0], [0.0285, 1.0], [0.03, 3.0], [1.0, 2.0]]",172.03
12,1590134400000,call,BTC-22MAY20-8000-C,8000.0,9352.15,SYN.BTC-22MAY20,1589434902528,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.12,0.0,0.1225,0.194,0.1575565,107.72,,0.0,9350.45,"{'vega': 3.18961, 'theta': -21.21985, 'rho': 1.44461, 'gamma': 0.00015, 'delta': 0.85398}",9350.45,19252162684,"[[0.001, 14.1], [0.0005, 0.3]]",0.0,0.001,14.1,0.3255,0.1,"[[0.3255, 0.1], [0.326, 14.0]]",456.76
13,1590134400000,call,BTC-22MAY20-12750-C,12750.0,9352.15,SYN.BTC-22MAY20,1589434902527,"{'volume': 0.1, 'price_change': 0.0, 'low': 0.0035, 'high': 0.0035}",open,0.0,26.1,0.0005,0.0205,0.00373126,121.48,0.0035,0.0,9350.45,"{'vega': 1.48979, 'theta': -11.17743, 'rho': 0.10084, 'gamma': 6e-05, 'delta': 0.05234}",9350.45,19252167858,"[[0.0035, 23.0], [0.003, 25.0], [0.002, 16.0], [0.0005, 0.1]]",120.01,0.0035,23.0,0.004,2.0,"[[0.004, 2.0], [0.0045, 23.0], [0.005, 41.0], [0.1175, 8.5]]",123.14
14,1589529600000,call,BTC-15MAY20-11250-C,11250.0,9350.69,SYN.BTC-15MAY20,1589434903078,"{'volume': 31.1, 'price_change': 100.0, 'low': 0.0005, 'high': 0.001}",open,0.0,327.9,0.0005,0.016,0.00108517,175.19,0.001,0.0,9350.45,"{'vega': 0.35015, 'theta': -10.1471, 'rho': 0.00816, 'gamma': 8e-05, 'delta': 0.03016}",9350.45,19252124576,"[[0.0005, 0.5]]",155.66,0.0005,0.5,0.002,47.6,"[[0.002, 47.6], [0.01, 5.1], [0.03, 0.1], [0.16, 0.1]]",195.26
15,1589529600000,put,BTC-15MAY20-10500-P,10500.0,9350.69,SYN.BTC-15MAY20,1589434904545,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.18,0.0,0.0905,0.164,0.12434876,126.52,0.123,0.0,9350.62,"{'vega': 0.53481, 'theta': -30.87398, 'rho': -0.30139, 'gamma': 0.00016, 'delta': -0.94924}",9350.62,19252167391,"[[0.0005, 16.3]]",0.0,0.0005,16.3,0.6185,0.1,"[[0.6185, 0.1], [0.6245, 2.5]]",500.0
16,1593158400000,put,BTC-26JUN20-20000-P,20000.0,9359.75,BTC-26JUN20,1589434904542,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,1.26,0.1,1.076,1.2295,1.14578784,123.6,1.603,0.0,9350.62,"{'vega': 3.70868, 'theta': -5.31819, 'rho': -23.07723, 'gamma': 3e-05, 'delta': -0.94243}",9350.62,19228290602,"[[0.5725, 0.1]]",0.0,0.5725,0.1,9.2555,0.1,"[[9.2555, 0.1]]",500.0
